------- ELASTODYN V1.00.* INDIVIDUAL BLADE INPUT FILE --------------------------
 Standard AWT-27CR blade data.  Used for FAST Certification Tests.
---------------------- BLADE PARAMETERS ----------------------------------------
         27   NBlInpSt    - Number of blade input stations (-)
      0.925   BldFlDmp(1) - Blade flap mode #1 structural damping in percent of critical (%)
      1.345   BldFlDmp(2) - Blade flap mode #2 structural damping in percent of critical (%)
      0.765   BldEdDmp(1) - Blade edge mode #1 structural damping in percent of critical (%)
---------------------- BLADE ADJUSTMENT FACTORS --------------------------------
          1   FlStTunr(1) - Blade flapwise modal stiffness tuner, 1st mode (-)
          1   FlStTunr(2) - Blade flapwise modal stiffness tuner, 2nd mode (-)
          1   AdjBlMs     - Factor to adjust blade mass density (-)
       0.43   AdjFlSt     - Factor to adjust blade flap stiffness (-)
      0.166   AdjEdSt     - Factor to adjust blade edge stiffness (-)
---------------------- DISTRIBUTED BLADE PROPERTIES ----------------------------
        BlFract               StrcTwst               BMassDen               FlpStff                 EdgStff
          (-)                   (deg)                 (kg/m)                 (Nm^2)                  (Nm^2)
 0.000000000000000E+00  0.000000000000000E+00  1.393360000000000E+02  9.690000000000000E+06  9.690000000000000E+06
 1.100000000000000E-02  0.000000000000000E+00  2.239730000000000E+02  1.720000000000000E+07  1.720000000000000E+07
 1.700000000000000E-02  0.000000000000000E+00  3.955700000000000E+01  4.060000000000000E+06  4.060000000000000E+06
 2.800000000000000E-02  0.000000000000000E+00  5.079700000000000E+01  6.850000000000000E+06  6.850000000000000E+06
 3.900000000000000E-02  0.000000000000000E+00  4.479700000000000E+01  6.100000000000000E+06  6.100000000000000E+06
 5.000000000000000E-02  0.000000000000000E+00  3.379700000000000E+01  4.770000000000000E+06  4.770000000000000E+06
 9.800000000000000E-02  0.000000000000000E+00  9.973000000000001E+00  1.650000000000000E+06  1.650000000000000E+06
 1.790000000000000E-01  2.004000000000000E+01  1.626500000000000E+01  1.350000000000000E+06  7.220000000000000E+06
 1.980000000000000E-01  1.807400000000000E+01  1.613400000000000E+01  1.300000000000000E+06  7.200000000000000E+06
 2.350000000000000E-01  1.429200000000000E+01  1.562300000000000E+01  1.170000000000000E+06  6.920000000000000E+06
 2.650000000000000E-01  1.190900000000000E+01  1.521000000000000E+01  1.070000000000000E+06  6.690000000000000E+06
 3.310000000000000E-01  7.979000000000000E+00  1.474100000000000E+01  9.160000000000000E+05  6.490000000000000E+06
 3.970000000000000E-01  5.308000000000000E+00  1.437900000000000E+01  8.050000000000000E+05  6.230000000000000E+06
 4.160000000000000E-01  4.715000000000000E+00  1.238000000000000E+01  7.200000000000000E+05  5.020000000000000E+06
 4.630000000000000E-01  3.425000000000000E+00  1.170500000000000E+01  6.080000000000000E+05  4.380000000000000E+06
 5.300000000000000E-01  2.083000000000000E+00  1.085300000000000E+01  4.790000000000000E+05  3.590000000000000E+06
 5.960000000000000E-01  1.150000000000000E+00  1.027900000000000E+01  4.070000000000000E+05  2.990000000000000E+06
 5.990000000000000E-01  1.115000000000000E+00  1.025300000000000E+01  4.030000000000000E+05  2.970000000000000E+06
 6.620000000000000E-01  4.940000000000000E-01  9.585000000000001E+00  3.200000000000000E+05  2.440000000000000E+06
 7.290000000000000E-01 -1.500000000000000E-02  8.935000000000000E+00  2.490000000000000E+05  1.970000000000000E+06
 7.810000000000000E-01 -3.810000000000000E-01  8.416000000000000E+00  2.000000000000000E+05  1.630000000000000E+06
 7.950000000000000E-01 -4.750000000000000E-01  8.291000000000000E+00  1.890000000000000E+05  1.560000000000000E+06
 8.610000000000000E-01 -9.200000000000000E-01  7.672000000000000E+00  1.400000000000000E+05  1.210000000000000E+06
 9.280000000000000E-01 -1.352000000000000E+00  7.043000000000000E+00  9.970000000000000E+04  9.140000000000000E+05
 9.460000000000000E-01 -1.469000000000000E+00  6.882000000000000E+00  9.050000000000000E+04  8.450000000000000E+05
 9.940000000000000E-01 -1.775000000000000E+00  6.440000000000000E+00  6.800000000000000E+04  6.710000000000000E+05
 1.000000000000000E+00 -1.815000000000000E+00  6.440000000000000E+00  6.800000000000000E+04  6.710000000000000E+05
---------------------- BLADE MODE SHAPES ---------------------------------------
     0.0644   BldFl1Sh(2) - Flap mode 1, coeff of x^2
     3.4722   BldFl1Sh(3) -            , coeff of x^3
    -5.1286   BldFl1Sh(4) -            , coeff of x^4
     3.8062   BldFl1Sh(5) -            , coeff of x^5
    -1.2142   BldFl1Sh(6) -            , coeff of x^6
    -0.3457   BldFl2Sh(2) - Flap mode 2, coeff of x^2
   -14.2306   BldFl2Sh(3) -            , coeff of x^3
    29.7596   BldFl2Sh(4) -            , coeff of x^4
   -14.9296   BldFl2Sh(5) -            , coeff of x^5
     0.7464   BldFl2Sh(6) -            , coeff of x^6
      1.352   BldEdgSh(2) - Edge mode 1, coeff of x^2
     1.5862   BldEdgSh(3) -            , coeff of x^3
    -6.1184   BldEdgSh(4) -            , coeff of x^4
     6.6006   BldEdgSh(5) -            , coeff of x^5
    -2.4203   BldEdgSh(6) -            , coeff of x^6


