------- ELASTODYN V1.00.* INDIVIDUAL BLADE INPUT FILE --------------------------
Light blade
---------------------- BLADE PARAMETERS ----------------------------------------
         49   NBlInpSt    - Number of blade input stations (-)
   0.477465   BldFlDmp(1) - Blade flap mode #1 structural damping in percent of critical (%)
   0.477465   BldFlDmp(2) - Blade flap mode #2 structural damping in percent of critical (%)
   0.477465   BldEdDmp(1) - Blade edge mode #1 structural damping in percent of critical (%)
---------------------- BLADE ADJUSTMENT FACTORS --------------------------------
          1   FlStTunr(1) - Blade flapwise modal stiffness tuner, 1st mode (-)
          1   FlStTunr(2) - Blade flapwise modal stiffness tuner, 2nd mode (-)
        1.0   AdjBlMs     - Factor to adjust blade mass density (-)  !bjj: value for AD14=1.04536; value for AeroDyn=1.057344 (it would be nice to enter the requested blade mass instead of a factor here)
          1   AdjFlSt     - Factor to adjust blade flap stiffness (-)
          1   AdjEdSt     - Factor to adjust blade edge stiffness (-)
---------------------- DISTRIBUTED BLADE PROPERTIES ----------------------------
        BlFract               StrcTwst               BMassDen               FlpStff                 EdgStff
          (-)                   (deg)                 (kg/m)                 (Nm^2)                  (Nm^2)
 0.000000000000000E+00  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 3.250000000000000E-03  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 1.951000000000000E-02  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 3.577000000000000E-02  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 5.203000000000000E-02  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 6.829000000000000E-02  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 8.455000000000000E-02  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 1.008100000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 1.170700000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 1.333500000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 1.495900000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 1.658500000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 1.821100000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 1.983700000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 2.146500000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 2.308900000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 2.471500000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 2.634100000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 2.959500000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 3.284600000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 3.609800000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 3.935000000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 4.260200000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 4.585500000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 4.910600000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 5.235800000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 5.561000000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 5.886200000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 6.211500000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 6.536600000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 6.861800000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 7.187000000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 7.512200000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
 7.837600000000000E-01  0.000000000000000E+00  5.000000000000000E-06  1.800000000000000E+10  1.800000000000000E+10
