------- ELASTODYN V1.00.* INDIVIDUAL BLADE INPUT FILE --------------------------
Generated with AeroElasticSE FAST driver
---------------------- BLADE PARAMETERS ----------------------------------------
30                     NBlInpSt    - Number of blade input stations (-)
3.0                    BldFlDmp1   - Blade flap mode #1 structural damping in percent of critical (%)
8.4                    BldFlDmp2   - Blade flap mode #2 structural damping in percent of critical (%)
3.0                    BldEdDmp1   - Blade edge mode #1 structural damping in percent of critical (%)
---------------------- BLADE ADJUSTMENT FACTORS --------------------------------
1.0                    FlStTunr1   - Blade flapwise modal stiffness tuner, 1st mode (-)
1.0                    FlStTunr2   - Blade flapwise modal stiffness tuner, 2nd mode (-)
1.0                    AdjBlMs     - Factor to adjust blade mass density (-)
1.0                    AdjFlSt     - Factor to adjust blade flap stiffness (-)
1.0                    AdjEdSt     - Factor to adjust blade edge stiffness (-)
---------------------- DISTRIBUTED BLADE PROPERTIES ----------------------------
       BlFract              PitchAxis                StrcTwst              BMassDen                 FlpStff                EdgStff
         (-)                   (-)                    (deg)                 (kg/m)                  (Nm^2)                 (Nm^2)
0.000000000000000e+00  5.000000000000000e-01  1.200002806121996e+01  2.389480065882034e+03  1.227022279055609e+11  1.217575801463871e+11
1.000000000000000e-02  5.024545464118998e-01  1.200235736363123e+01  2.369167270264533e+03  1.215440709615639e+11  1.205543767335801e+11
3.000000000000001e-02  5.013034037541004e-01  1.192809671441794e+01  9.269655411008621e+02  3.676021338465997e+10  3.685612891661745e+10
5.000000000000000e-02  4.876705651034967e-01  1.171801600119492e+01  9.454236774879672e+02  3.402072044066351e+10  3.624755124134226e+10
8.625000000000002e-02  4.473498998866065e-01  1.105277424294522e+01  7.904783190400494e+02  2.327815086460235e+10  2.888434987943774e+10
1.225000000000000e-01  4.078912236190140e-01  1.011737197284102e+01  6.447478603549163e+02  1.473599147902981e+10  2.169169675121196e+10
1.587500000000000e-01  3.709136545799254e-01  9.025250501743880e+00  5.928077841102047e+02  9.731385474470455e+09  1.859254457748073e+10
1.950000000000000e-01  3.456767334890448e-01  7.889851140515384e+00  6.067553014692328e+02  7.722433700489191e+09  1.851312872716917e+10
2.420000000000000e-01  3.304219391777439e-01  6.538901378790676e+00  5.892463649136001e+02  6.858190254514097e+09  1.635834175796660e+10
2.808333333333333e-01  3.302277889023419e-01  5.540718247078164e+00  5.359650031382395e+02  5.617758947002696e+09  1.279832065760198e+10
3.196666666666666e-01  3.380041220451706e-01  4.842796634119462e+00  4.899962785561953e+02  4.550930889165097e+09  9.771573232147348e+09
